daily_volume,avg_trade_size,trade_count,volume_volatility,min_trade_size,max_trade_size,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,daily_fees,avg_fee_per_trade,daily_tokens_traded,avg_tokens_per_trade,unique_accounts,unique_coins,pnl_ratio,fee_ratio,avg_pnl_per_dollar,volume_efficiency,pnl_per_trade,value,classification,sentiment_normalized,sentiment_change_1d,sentiment_change_7d,sentiment_ma_7d,sentiment_volatility_30d,date
88874.28,8887.428,10,10122.8183,50.34,27265.12,141.8327,14.1833,40.9267,0.0,130.1969,22.2186,2.2219,2450.7491,245.0749,1,2,0.0015958799783379423,0.00025000030942581934,0.0015958799783379423,8887.428,14.183269999999998,74,Greed,0.48,4.0,4.0,70.85714285714286,3.204881334435953,2023-12-22
78438.25,6033.7115,13,3471.1366,45.41,10536.13,146.9367,11.3028,11.4784,0.0,24.8971,19.6096,1.5084,141665.4,10897.3385,1,2,0.0018732784230552795,0.000250000446210816,0.0018732784230552795,6033.711538461538,11.302823076923078,70,Greed,0.4,-4.0,3.0,71.28571428571429,3.0670664407091017,2023-12-23
402954.94,10332.1779,39,15914.0247,31.66,50042.93,1008.62,25.8621,52.267,-9.5105,177.0407,100.7387,2.583,284682.1961,7299.5435,1,4,0.0025030589647800578,0.00024999990693748766,0.0025030589647800578,10332.177948717948,25.862051282051283,71,Greed,0.42,1.0,-2.0,71.0,2.9063940608220085,2023-12-24
59948.51,19982.8367,3,16428.6091,1017.96,29851.65,-245.0813,-81.6938,141.4978,-245.0813,0.0,14.9871,4.9957,26.3812,8.7937,1,1,-0.004088196005506057,0.0002499994995706316,-0.004088196005506057,19982.836666666666,-81.69376666666666,73,Greed,0.46,2.0,8.0,72.14285714285714,2.9063940608220085,2023-12-25
171411.06,6121.8236,28,4060.9128,37.01,14652.09,-704.8892,-25.1746,153.6746,-545.8961,300.2966,42.8527,1.5305,455540.0,16269.2857,1,2,-0.004112273495521613,0.0002499996062097973,-0.004112273495521613,6121.823571428571,-25.174614285714284,73,Greed,0.46,2.0,-1.0,71.71428571428571,2.725781549844205,2023-12-27
100117.25,4352.9239,23,2633.5775,466.94,8913.49,-970.7309,-42.2057,55.0151,-160.5807,0.0,25.0293,1.0882,263752.0,11467.4783,1,2,-0.00969593954129388,0.000249999850175684,-0.00969593954129388,4352.923913043478,-42.20569130434783,73,Greed,0.46,0.0,3.0,72.14285714285714,2.6542094088836854,2023-12-28
569559.72,11391.1944,50,11436.6847,40.29,31567.57,508.9221,10.1784,78.1119,-193.725,423.7955,142.3899,2.8478,15843.6026,316.8721,1,4,0.0008935359597842355,0.00024999994293838155,0.0008935359597842355,11391.1944,10.178442,65,Greed,0.3,-8.0,-9.0,70.85714285714286,2.921186973360855,2023-12-29
702550.21,13510.581,52,17706.0046,40.01,50570.1,354.9986,6.8269,68.4019,-283.2016,177.2215,175.6375,3.3776,158399.8923,3046.1518,1,3,0.0005052999627556874,0.0002499999217137815,0.0005052999627556874,13510.58096153846,6.826896153846154,68,Greed,0.36,3.0,-2.0,70.57142857142857,2.9470421563432407,2023-12-30
264239.53,14679.9739,18,18284.7381,29.21,50223.93,-129.5315,-7.1962,85.8478,-166.1831,281.6771,66.0599,3.67,4178.7866,232.1548,1,3,-0.000490204834598183,0.00025000005676667465,-0.000490204834598183,14679.97388888889,-7.196194444444444,65,Greed,0.3,-2.0,-8.0,68.85714285714286,3.1957227160942545,2024-01-01
121348.74,7138.1612,17,14085.4466,46.03,51229.98,783.9791,46.1164,134.4283,-252.7942,297.653,30.3372,1.7845,208218.3549,12248.1385,1,2,0.006460545329061898,0.00025000010300888967,0.006460545329061898,7138.1611764705885,46.116417647058825,71,Greed,0.42,6.0,0.0,68.85714285714286,3.1697202458232083,2024-01-02
394499.36,5888.0501,67,11430.1184,17.13,50256.88,866.0155,12.9256,50.4154,-15.0135,362.6505,98.6248,1.472,64502.1274,962.7183,1,6,0.0021952265728586587,0.0002499998922685225,0.0021952265728586587,5888.050149253731,12.92560447761194,70,Greed,0.4,-1.0,-3.0,68.42857142857143,3.1126364624103458,2024-01-03
99792.54,19958.508,5,25417.7328,57.94,48918.6,-67.6036,-13.5207,29.544,-66.3633,0.0,24.9481,4.9896,45.0958,9.0192,1,1,-0.0006774413520849002,0.00024999962422044534,-0.0006774413520849002,19958.507999999998,-13.52072,68,Greed,0.36,-2.0,-5.0,67.71428571428571,3.0354230518081455,2024-01-04
1703942.66,25817.313,66,29320.186,11.12,99154.32,164.1416,2.487,60.7236,-231.8397,285.1075,425.9856,6.4543,251.8077,3.8153,1,2,9.633047102459146e-05,0.00024999996038599115,9.633047102459146e-05,25817.31303030303,2.4869939393939395,72,Greed,0.44,4.0,7.0,68.71428571428571,3.0354230518081455,2024-01-05
298521.4,13569.1545,22,17704.171,11.2,50016.98,135.5817,6.1628,37.3384,-120.901,80.2264,74.6303,3.3923,7077.4266,321.7012,1,3,0.0004541774742387824,0.0002499998241332171,0.0004541774742387824,13569.154545454547,6.162804545454546,70,Greed,0.4,-2.0,2.0,69.0,3.0209993018220325,2024-01-06
1048850.06,10812.8872,97,16830.7828,11.25,50897.58,-835.6812,-8.6153,34.0379,-199.5222,80.023,262.2125,2.7032,165182.5211,1702.9126,1,8,-0.0007967594453228191,0.00024999998331506044,-0.0007967594453228191,10812.887216494846,-8.615270103092783,71,Greed,0.42,1.0,4.0,69.57142857142857,3.007461984166536,2024-01-07
1522452.43,11894.1596,128,19055.9642,10.99,50795.31,-269.8744,-2.1084,122.4196,-885.2264,801.5476,380.6131,2.9735,108119.8152,844.6861,1,6,-0.00017726294293961655,0.0002499999934316503,-0.00017726294293961655,11894.159609375,-2.10839375,71,Greed,0.42,0.0,6.0,70.42857142857143,2.967447914696535,2024-01-08
870051.97,12429.3139,70,16861.5523,12.62,49999.85,-826.3499,-11.805,214.1803,-1685.2222,398.7175,204.0129,2.9145,129356.3117,1847.9473,1,6,-0.0009497707251927639,0.00023448357648700485,-0.0009497707251927639,12429.313857142857,-11.804998571428571,76,Extreme Greed,0.52,5.0,5.0,71.14285714285714,3.075487065434545,2024-01-09
2057479.48,10660.5154,193,15935.3451,11.51,50108.03,-1517.0913,-7.8606,119.7894,-1032.9815,664.5795,434.0449,2.2489,200302.4316,1037.8364,1,5,-0.000737354276129382,0.00021095952698901507,-0.000737354276129382,10660.515440414507,-7.860576683937824,73,Greed,0.46,-3.0,3.0,71.57142857142857,3.039207398187137,2024-01-10
305314.1,14538.7667,21,16199.0295,0.48,44576.98,-164.0895,-7.8138,101.9263,-406.5688,180.6494,75.8672,3.6127,846.4397,40.3067,2,3,-0.0005374448629314905,0.0002484890069443564,-0.0005374448629314905,14538.766666666666,-7.8137857142857134,76,Extreme Greed,0.52,3.0,8.0,72.71428571428571,3.1478874507038546,2024-01-11
200082.27,28583.1814,7,24272.5201,1265.1,49985.49,-1925.519,-275.0741,669.928,-1790.0049,0.0,49.4807,7.0687,1542.2793,220.3256,1,2,-0.009623635836216981,0.000247301760055913,-0.009623635836216981,28583.181428571428,-275.0741428571429,71,Greed,0.42,-5.0,-1.0,72.57142857142857,2.9674479146965167,2024-01-12
50636.1,3616.8643,14,12651.7658,10.28,47535.72,152.8536,10.9181,33.6458,0.0,127.6612,12.6527,0.9038,1.4319,0.1023,2,2,0.003018667903201885,0.0002498750397690502,0.003018667903201885,3616.8642857142854,10.918114285714285,52,Neutral,0.04,-8.0,-19.0,67.42857142857143,4.971181316162294,2024-01-15
116427.33,12936.37,9,16848.4743,129.13,50684.76,-2299.1715,-255.4635,883.8758,-2299.8071,805.6098,17.3193,1.9244,2608.1806,289.7978,2,3,-0.019747694141255826,0.00014875629727519326,-0.019747694141255826,12936.37,-255.46349999999998,64,Greed,0.28,12.0,-12.0,65.71428571428571,5.034250506373294,2024-01-16
800831.03,15110.0194,53,21847.9277,12.3,97122.01,813.2741,15.3448,75.6265,-38.6792,491.1142,159.7076,3.0134,4055.0227,76.5099,1,2,0.0010155376844533897,0.00019942733488452195,0.0010155376844533897,15110.019433962265,15.344794339622641,60,Greed,0.2,-4.0,-13.0,63.857142857142854,5.261440736213791,2024-01-17
